PartialNodeId,SubIndex,NodeValueServerTime,NodeValueSourceTime,NodeValue,NodeValueQuality,NodeValueType
2,-1,131757411546916425,131757411547763352,875.3,1,11
2,-1,131757411573167109,131757411574342746,874.6,1,11
2,-1,131757411604886570,131757411605414560,866.6,1,11
2,-1,131757411634418700,131757411636464274,857,1,11
2,-1,131757411666138168,131757411667503232,836.8,1,11
2,-1,131757411692388736,131757411694102593,852.5,1,11
2,-1,131757411723014990,131757411725170213,825.5,1,11
2,-1,131757411754734072,131757411756203391,819.1,1,11
2,-1,131757411785359802,131757411787275721,830.3,1,11
2,-1,131757411815985557,131757411818339207,798.4,1,11
2,-1,131757411843330040,131757411844939514,814.3,1,11
2,-1,131757411872862030,131757411875956395,801.5,1,11
2,-1,131757411904581717,131757411906983281,810,1,11
2,-1,131757411937238687,131757411938000895,796.8,1,11
2,-1,131757411963645535,131757411964588366,803.9,1,11
2,-1,131757411994271204,131757411995589241,802,1,11
2,-1,131757412025990788,131757412026617627,809.7,1,11
2,-1,131757412055522784,131757412057613353,819.7,1,11
2,-1,131757412081773352,131757412084198980,815,1,11
2,-1,131757412113492951,131757412115219255,809.2,1,11
2,-1,131757412144118729,131757412146232508,816.3,1,11
2,-1,131757412175838170,131757412177272390,805.1,1,11
2,-1,131757412206620228,131757412208288815,808.8,1,11
2,-1,131757412232714622,131757412234871462,802.1,1,11
2,-1,131757412264590401,131757412265970961,797.9,1,11
2,-1,131757412296153637,131757412296998791,790.3,1,11
2,-1,131757412325685736,131757412328026358,783.6,1,11
2,-1,131757412353186417,131757412354632676,783.8,1,11
2,-1,131757412383812123,131757412385649139,795.3,1,11
2,-1,131757412414281561,131757412416665840,776.6,1,11
2,-1,131757412447094852,131757412447686631,796,1,11
2,-1,131757412473501778,131757412474311188,786.1,1,11
2,-1,131757412504127522,131757412505328844,804.5,1,11
2,-1,131757412535691009,131757412536363718,804.3,1,11
2,-1,131757412565222800,131757412567415036,809.6,1,11
2,-1,131757412595848605,131757412598445467,880.2,1,11
2,-1,131757412623193007,131757412625038766,858.9,1,11
2,-1,131757412654912475,131757412656084352,849.5,1,11
2,-1,131757412685538322,131757412687120313,810.4,1,11
2,-1,131757412717257759,131757412718170031,807.1,1,11
2,-1,131757412743508406,131757412744758557,799.2,1,11
2,-1,131757412774290412,131757412775823212,787.4,1,11
2,-1,131757412804759911,131757412806846073,798.9,1,11
2,-1,131757412835385707,131757412837878104,819.9,1,11
2,-1,131757412861636374,131757412864487699,847.8,1,11
2,-1,131757412893512276,131757412895514890,843.5,1,11
2,-1,131757412923981822,131757412926538850,881,1,11
2,-1,131757412956794908,131757412957565239,885.2,1,11
2,-1,131757412987576956,131757412988605459,859.3,1,11
2,-1,131757413013671361,131757413015192889,773.4,1,11
2,-1,131757413044297125,131757413046244421,817.6,1,11
2,-1,131757413076016597,131757413077300939,862.5,1,11
2,-1,131757413105548638,131757413108324647,857.6,1,11
2,-1,131757413132893043,131757413134961095,824,1,11
2,-1,131757413164612624,131757413166016799,807.6,1,11
2,-1,131757413195238282,131757413197066529,792.4,1,11
2,-1,131757413225864002,131757413228085772,776.6,1,11
2,-1,131757413256489839,131757413259154267,761.9,1,11
2,-1,131757413284928043,131757413285746758,775.9,1,11
2,-1,131757413314459930,131757413316766192,774.2,1,11
2,-1,131757413346179545,131757413347782300,775,1,11
2,-1,131757413376805255,131757413378823954,808,1,11
2,-1,131757413403055929,131757413405402752,799.5,1,11
2,-1,131757413434775496,131757413436479792,835.2,1,11
2,-1,131757413466495139,131757413467530398,863.5,1,11
2,-1,131757413497120719,131757413498545764,845.7,1,11
2,-1,131757413523371383,131757413525131100,834.8,1,11
2,-1,131757413553997120,131757413556191690,836.6,1,11
2,-1,131757413584622946,131757413587215540,837.4,1,11
2,-1,131757413615248732,131757413618239622,871,1,11
2,-1,131757413642593095,131757413644847095,825.1,1,11
2,-1,131757413674312666,131757413675893667,802.7,1,11
2,-1,131757413706032144,131757413706939567,802.5,1,11
2,-1,131757413735564154,131757413737980603,813.8,1,11
2,-1,131757413767283650,131757413769033643,811,1,11
2,-1,131757413794628226,131757413795612097,810.5,1,11
2,-1,131757413824160051,131757413826643825,807.7,1,11
