PartialNodeId,SubIndex,NodeValueServerTime,NodeValueSourceTime,NodeValue,NodeValueQuality,NodeValueType
2,-1,1.31757E+17,1.31757E+17,892.5,1,11
2,-1,1.31757E+17,1.31757E+17,894.5,1,11
2,-1,1.31757E+17,1.31757E+17,895.2,1,11
2,-1,1.31757E+17,1.31757E+17,882.6,1,11
2,-1,1.31757E+17,1.31757E+17,887.1,1,11
2,-1,1.31757E+17,1.31757E+17,900.5,1,11
2,-1,1.31757E+17,1.31757E+17,877.8,1,11
2,-1,1.31757E+17,1.31757E+17,898,1,11
2,-1,1.31757E+17,1.31757E+17,813.8,1,11
2,-1,1.31757E+17,1.31757E+17,863.1,1,11
2,-1,1.31757E+17,1.31757E+17,846.6,1,11
2,-1,1.31757E+17,1.31757E+17,824.3,1,11
2,-1,1.31757E+17,1.31757E+17,829.5,1,11
2,-1,1.31757E+17,1.31757E+17,816.1,1,11
2,-1,1.31757E+17,1.31757E+17,807.2,1,11
2,-1,1.31757E+17,1.31757E+17,828.8,1,11
2,-1,1.31757E+17,1.31757E+17,856.3,1,11
2,-1,1.31757E+17,1.31757E+17,853.8,1,11
2,-1,1.31757E+17,1.31757E+17,805.4,1,11
2,-1,1.31757E+17,1.31757E+17,845.4,1,11
2,-1,1.31757E+17,1.31757E+17,849.5,1,11
2,-1,1.31757E+17,1.31757E+17,828.9,1,11
2,-1,1.31757E+17,1.31757E+17,839.6,1,11
2,-1,1.31757E+17,1.31757E+17,820.2,1,11
2,-1,1.31757E+17,1.31757E+17,872.5,1,11
2,-1,1.31757E+17,1.31757E+17,817.3,1,11
2,-1,1.31757E+17,1.31757E+17,858.3,1,11
2,-1,1.31757E+17,1.31757E+17,861.5,1,11
2,-1,1.31757E+17,1.31757E+17,886.4,1,11
2,-1,1.31757E+17,1.31757E+17,880.3,1,11
2,-1,1.31757E+17,1.31757E+17,814.1,1,11
2,-1,1.31757E+17,1.31757E+17,810.3,1,11
2,-1,1.31757E+17,1.31757E+17,807.1,1,11
2,-1,1.31757E+17,1.31757E+17,804.9,1,11
2,-1,1.31757E+17,1.31757E+17,808.9,1,11
2,-1,1.31757E+17,1.31757E+17,807.4,1,11
2,-1,1.31757E+17,1.31757E+17,798.6,1,11
2,-1,1.31757E+17,1.31757E+17,787.9,1,11
2,-1,1.31757E+17,1.31757E+17,796,1,11
2,-1,1.31757E+17,1.31757E+17,796.8,1,11
2,-1,1.31757E+17,1.31757E+17,795.7,1,11
2,-1,1.31757E+17,1.31757E+17,799.8,1,11
2,-1,1.31757E+17,1.31757E+17,806.2,1,11
2,-1,1.31757E+17,1.31757E+17,797.6,1,11
2,-1,1.31757E+17,1.31757E+17,802.5,1,11
2,-1,1.31757E+17,1.31757E+17,803.7,1,11
2,-1,1.31757E+17,1.31757E+17,792.5,1,11
2,-1,1.31757E+17,1.31757E+17,788.4,1,11
2,-1,1.31757E+17,1.31757E+17,790.5,1,11
2,-1,1.31757E+17,1.31757E+17,795.6,1,11
2,-1,1.31757E+17,1.31757E+17,791.2,1,11
2,-1,1.31757E+17,1.31757E+17,777.3,1,11
2,-1,1.31757E+17,1.31757E+17,807.4,1,11
2,-1,1.31757E+17,1.31757E+17,803.3,1,11
2,-1,1.31757E+17,1.31757E+17,823.2,1,11
2,-1,1.31757E+17,1.31757E+17,802.2,1,11
2,-1,1.31757E+17,1.31757E+17,811.6,1,11
2,-1,1.31757E+17,1.31757E+17,804.8,1,11
2,-1,1.31757E+17,1.31757E+17,789.7,1,11
2,-1,1.31757E+17,1.31757E+17,781.6,1,11
2,-1,1.31757E+17,1.31757E+17,805,1,11
2,-1,1.31757E+17,1.31757E+17,864.8,1,11
2,-1,1.31757E+17,1.31757E+17,867.6,1,11
2,-1,1.31757E+17,1.31757E+17,876.5,1,11
2,-1,1.31757E+17,1.31757E+17,873,1,11
2,-1,1.31757E+17,1.31757E+17,801.8,1,11
2,-1,1.31757E+17,1.31757E+17,793.1,1,11
2,-1,1.31757E+17,1.31757E+17,774.8,1,11
2,-1,1.31757E+17,1.31757E+17,777,1,11
2,-1,1.31757E+17,1.31757E+17,812.6,1,11
2,-1,1.31757E+17,1.31757E+17,826.4,1,11
2,-1,1.31757E+17,1.31757E+17,819.5,1,11
2,-1,1.31757E+17,1.31757E+17,875.8,1,11
2,-1,1.31757E+17,1.31757E+17,879,1,11
2,-1,1.31757E+17,1.31757E+17,888.3,1,11
2,-1,1.31757E+17,1.31757E+17,878.9,1,11
2,-1,1.31757E+17,1.31757E+17,819.4,1,11
2,-1,1.31757E+17,1.31757E+17,806.9,1,11
2,-1,1.31757E+17,1.31757E+17,797,1,11
